"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/12/2019","AQS","100010002","3","7.8","ug/m3 LC","33","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/13/2019","AQS","100010002","3","9","ug/m3 LC","38","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/14/2019","AQS","100010002","3","6.1","ug/m3 LC","25","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/15/2019","AQS","100010002","3","6.6","ug/m3 LC","28","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/16/2019","AQS","100010002","3","4.3","ug/m3 LC","18","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/17/2019","AQS","100010002","3","5.4","ug/m3 LC","23","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/18/2019","AQS","100010002","3","8.5","ug/m3 LC","35","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/19/2019","AQS","100010002","3","9.1","ug/m3 LC","38","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/20/2019","AQS","100010002","3","12.3","ug/m3 LC","51","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/21/2019","AQS","100010002","3","8.6","ug/m3 LC","36","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/22/2019","AQS","100010002","3","4.4","ug/m3 LC","18","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/23/2019","AQS","100010002","3","3","ug/m3 LC","13","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/24/2019","AQS","100010002","3","4","ug/m3 LC","17","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
